19:29:25: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:26: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:27: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:28: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:29: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:30: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:31: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:32: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:33: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:34: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:35: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:36: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:37: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:38: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:39: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:40: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:41: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:42: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:43: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:44: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:45: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:46: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:47: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:48: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:49: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:50: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:51: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:52: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:53: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:54: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:55: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:56: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:57: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:58: Latitude: 37.6928025, Longitude: -97.33805783333334
19:29:59: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:00: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:01: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:02: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:03: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:04: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:05: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:06: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:07: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:08: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:09: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:10: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:11: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:12: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:13: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:14: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:15: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:16: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:17: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:18: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:19: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:20: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:21: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:22: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:23: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:24: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:25: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:26: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:27: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:28: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:29: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:30: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:31: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:32: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:33: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:34: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:35: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:36: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:37: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:38: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:39: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:40: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:41: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:42: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:43: Latitude: 37.6928025, Longitude: -97.33805783333334
19:30:44: Latitude: 37.6928025, Longitude: -97.33805783333334
